date,name,types,size,rate,special
12-29,ExtraSpace,,,,
date,name,types,size,rate,special
12-29,ExtraSpace,,,,
,,Climate ControlledIndoor,5' x 5',$29,
,,Climate ControlledIndoor,5' x 7',$45,
,,Climate ControlledIndoor,5' x 10',$58,
,,Climate ControlledIndoor,10' x 10',$104,
,,Climate ControlledIndoor,10' x 15',$179,
,,Climate ControlledIndoor,5' x 5',$33,
,,Climate ControlledIndoor,5' x 5',$40,
,,Climate ControlledIndoor,5' x 10',$63,
,,Climate ControlledIndoor,10' x 20',$286,
,,"Climate ControlledIndoor, Drive Up Access",10' x 25',$333,
,,Climate ControlledIndoor,10' x 30',$321,
